, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",137,2,40
"""Unemployment Insurance""",4,1,0
"""Supplemental Security Income (SSI)""",49,14,6
"""Social Security Disability Insurance (SSDI)""",50,7,10
"""VA Service - Connected Disability Compensation""",1,0,0
"""VA Non-Service Connected Disability Pension""",0,0,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",13,0,2
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",6,0,0
"""Pension or retirement income from a former job""",2,0,0
"""Child Support""",21,0,3
"""Alimony and other spousal support""",1,0,1
"""Other Source""",6,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,22,0
