"""Total Number of Persons Served""",608
"""Number of Adults (age 18 or over)""",405
"""Number of Children (under age 18)""",202
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",152
"""Number of Adult Leavers""",87
"""Number of Adult and Head of Household Leavers""",87
"""Number of Stayers""",456
"""Number of Adult Stayers""",318
"""Number of Veterans""",14
"""Number of Chronically Homeless Persons""",27
"""Number of Youth Under Age 25""",23
"""Number of Parenting Youth Under Age 25 with Children""",9
"""Number of Adult Heads of Household""",317
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",97
