, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",133,2,30
"""$1 -  $150""",3,0,1
"""$151 - $250""",5,0,1
"""$251 - $500""",18,2,3
"""$501 - $1000""",78,11,14
"""$1001 - $1500""",65,5,15
"""$1501 - $2000""",26,0,9
"""$2001+""",38,2,10
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",39,0,4
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,221,0
"""Number of Adult Stayers without Required Annual Assessment""",0,75,0
"""Total Adults""",405,318,87
