, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",21,11,10,0,0
"""8 to 14 days""",5,1,4,0,0
"""15 to 21 days""",1,1,0,0,0
"""22 to 30 days""",10,1,9,0,0
"""31 to 60 days""",30,2,28,0,0
"""61 to 180 days""",61,20,41,0,0
"""181 to 365 days""",25,10,15,0,0
"""366-730 days (1-2 years)""",18,12,6,0,0
"""731 days or more""",10,8,2,0,0
"""Total (persons moved into housing)""",181,66,115,0,0
"""Not yet moved into housing""",35,11,24,0,0
"""Data not collected""",87,53,34,0,0
"""Total persons""",303,130,173,0,0
