"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",110,1,34
"""Adults with Only Other Income""",96,18,13
"""Adults with Both Earned and Other Income""",27,1,6
"""Adults with No Income""",165,2,34
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",7,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,221,0
"""Number of Adult Stayers without Required Annual Assessment""",0,75,0
"""Total Adults""",405,318,87
"""1 or More Source of Income""",256,20,59
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,22,0
