income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,2,6,8,0.25,2,9,11,0.18,0,0,0,0.0,adults,2018-07-01,2018-07-31,Q19b
Supplemental Security Income (SSI),3,0,3,1.0,0,0,0,0.0,0,0,0,0.0,adults,2018-07-01,2018-07-31,Q19b
Social Security Disability Insurance (SSDI),3,0,3,1.0,0,0,0,0.0,0,0,0,0.0,adults,2018-07-01,2018-07-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-07-01,2018-07-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-07-01,2018-07-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-07-01,2018-07-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,2,1,3,0.67,0,0,0,0.0,adults,2018-07-01,2018-07-31,Q19b
Retirement Income from Social Security,0,1,1,0.0,0,1,1,0.0,0,0,0,0.0,adults,2018-07-01,2018-07-31,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-07-01,2018-07-31,Q19b
Child Support,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-07-01,2018-07-31,Q19b
Other source,1,0,1,1.0,0,1,1,0.0,0,0,0,0.0,adults,2018-07-01,2018-07-31,Q19b
No Sources,5,0,5,1.0,1,3,4,0.25,0,0,0,0.0,adults,2018-07-01,2018-07-31,Q19b
Unduplicated Total Adults,11,6,17,NA,4,13,17,NA,0,0,0,NA,adults,2018-07-01,2018-07-31,Q19b
