ch_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,62,all_households,2018-07-01,2018-07-31,Q26a,without_children,57
Chronically Homeless ,62,all_households,2018-07-01,2018-07-31,Q26a,with_children_and_adults,5
Chronically Homeless ,62,all_households,2018-07-01,2018-07-31,Q26a,with_only_children,0
Chronically Homeless ,62,all_households,2018-07-01,2018-07-31,Q26a,unknown_household_type,0
Not Chronically Homeless,208,all_households,2018-07-01,2018-07-31,Q26a,without_children,142
Not Chronically Homeless,208,all_households,2018-07-01,2018-07-31,Q26a,with_children_and_adults,65
Not Chronically Homeless,208,all_households,2018-07-01,2018-07-31,Q26a,with_only_children,1
Not Chronically Homeless,208,all_households,2018-07-01,2018-07-31,Q26a,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_households,2018-07-01,2018-07-31,Q26a,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2018-07-01,2018-07-31,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_households,2018-07-01,2018-07-31,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,2,all_households,2018-07-01,2018-07-31,Q26a,unknown_household_type,0
Data Not Collected,6,all_households,2018-07-01,2018-07-31,Q26a,without_children,6
Data Not Collected,6,all_households,2018-07-01,2018-07-31,Q26a,with_children_and_adults,0
Data Not Collected,6,all_households,2018-07-01,2018-07-31,Q26a,with_only_children,0
Data Not Collected,6,all_households,2018-07-01,2018-07-31,Q26a,unknown_household_type,0
