, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",113,2,34
"""Unemployment Insurance""",3,1,0
"""Supplemental Security Income (SSI)""",50,6,11
"""Social Security Disability Insurance (SSDI)""",60,4,20
"""VA Service - Connected Disability Compensation""",3,0,2
"""VA Non-Service Connected Disability Pension""",3,0,1
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",7,0,2
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",7,0,3
"""Pension or retirement income from a former job""",0,0,0
"""Child Support""",21,0,7
"""Alimony and other spousal support""",0,0,0
"""Other Source""",5,0,0
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,12,0
