"""Total Number of Persons Served""",599
"""Number of Adults (age 18 or over)""",448
"""Number of Children (under age 18)""",150
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",173
"""Number of Adult Leavers""",134
"""Number of Adult and Head of Household Leavers""",134
"""Number of Stayers""",426
"""Number of Adult Stayers""",314
"""Number of Veterans""",16
"""Number of Chronically Homeless Persons""",32
"""Number of Youth Under Age 25""",32
"""Number of Parenting Youth Under Age 25 with Children""",10
"""Number of Adult Heads of Household""",361
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",95
