, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",34,17,17,0,0
"""8 to 14 days""",1,0,1,0,0
"""15 to 21 days""",1,1,0,0,0
"""22 to 30 days""",6,1,5,0,0
"""31 to 60 days""",20,7,13,0,0
"""61 to 180 days""",52,31,21,0,0
"""181 to 365 days""",23,22,1,0,0
"""366-730 days (1-2 years)""",16,16,0,0,0
"""731 days or more""",17,17,0,0,0
"""Total (persons moved into housing)""",170,112,58,0,0
"""Not yet moved into housing""",24,9,15,0,0
"""Data not collected""",119,68,51,0,0
"""Total persons""",313,189,124,0,0
