, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",4,16,20,0.2,1,12,13,0.08,0,0,0,0.0
"""Supplemental Security Income (SSI)""",7,3,10,0.7,0,0,0,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",13,2,15,0.87,3,0,3,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,2,2,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,2,3,0.33,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,3,3,0.0,1,3,4,0.25,0,0,0,0.0
"""Other source""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""No Sources""",14,32,46,0.3,2,7,9,0.22,0,0,0,0.0
"""Unduplicated Total Adults""",36,56,92,,6,23,29,,0,0,0,
