, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",2,2,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",116,80,36,0,0
"""Rental by client, with VASH subsidy""",2,0,2,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",3,3,0,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",6,1,5,0,0
"""Staying or living with friends, permanent tenure""",3,3,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",1,1,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",133,90,43,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",17,13,4,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",25,25,0,0,0
"""Staying or living with friends, temporary tenure""",22,22,0,0,0
"""Place not meant for human habitation""",15,15,0,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",23,23,0,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",102,98,4,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",2,2,0,0,0
"""Jail, prison, or juvenile detention facility""",3,0,3,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Subtotal""",6,3,3,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",1,1,0,0,0
"""Other""",3,3,0,0,0
"""Client Doesn't Know/Client Refused""",0,0,0,0,0
"""Data Not Collected (no exit interview completed)""",46,41,4,1,0
"""Subtotal""",50,45,4,1,0
"""Total""",291,236,54,1,0
"""Total persons exiting to positive housing destinations""",47,24,23,0,0
"""Total persons whose destinations excluded them from the calculation""",3,3,0,0,0
"""Percentage""",0.16,0.1,0.43,0.0,0.0
