, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",47,38,9,0,0
"""8 to 14 days""",6,4,2,0,0
"""15 to 21 days""",6,4,2,0,0
"""22 to 30 days""",12,6,6,0,0
"""31 to 60 days""",27,12,15,0,0
"""61 to 180 days""",68,25,43,0,0
"""181 to 365 days""",51,29,22,0,0
"""366-730 days (1-2 years)""",34,34,0,0,0
"""731 days or more""",54,45,9,0,0
"""Total (persons moved into housing)""",305,197,108,0,0
"""Not yet moved into housing""",45,17,28,0,0
"""Data not collected""",9,9,0,0,0
"""Total persons""",359,223,136,0,0
