"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",155,9,63
"""Adults with Only Other Income""",159,35,50
"""Adults with Both Earned and Other Income""",39,3,10
"""Adults with No Income""",340,12,136
"""Adults with Client Doesn't Know/Client Refused Income Information""",1,0,0
"""Adults with Missing Income Information""",9,0,1
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,326,0
"""Number of Adult Stayers without Required Annual Assessment""",0,62,0
"""Total Adults""",707,447,260
"""1 or More Source of Income""",381,50,132
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,59,0
