, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",142,101,41,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Place not meant for human habitation""",137,113,24,0,0
"""Safe Haven""",1,1,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",281,216,65,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",2,2,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",9,9,0,0,0
"""Jail, prison or juvenile detention facility""",14,14,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Subtotal""",26,26,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",1,1,0,0,0
"""Owned by client, no ongoing housing subsidy""",12,12,0,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",185,153,32,0,0
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",10,5,5,0,0
"""Hotel or motel paid for without emergency shelter voucher""",53,47,4,0,2
"""Staying or living in a friend''s room, apartment or house""",57,51,6,0,0
"""Staying or living in a family member''s room, apartment or house""",66,45,21,0,0
"""Client Doesn''t Know/Client Refused""",1,1,0,0,0
"""Data not collected""",15,14,1,0,0
"""Subtotal""",400,329,69,0,2
"""Total""",707,571,134,0,2
