, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",196,12,74
"""Unemployment Insurance""",1,0,0
"""Supplemental Security Income (SSI)""",93,24,28
"""Social Security Disability Insurance (SSDI)""",83,10,28
"""VA Service - Connected Disability Compensation""",9,4,3
"""VA Non-Service Connected Disability Pension""",2,3,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",17,1,3
"""General Assistance (GA)""",2,0,0
"""Retirement Income from Social Security""",9,2,3
"""Pension or retirement income from a former job""",9,0,2
"""Child Support""",16,1,3
"""Alimony and other spousal support""",1,0,0
"""Other Source""",4,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,59,0
