"""Total Number of Persons Served""",910
"""Number of Adults (age 18 or over)""",707
"""Number of Children (under age 18)""",197
"""Number of Persons with Unknown Age""",6
"""Number of Leavers""",291
"""Number of Adult Leavers""",260
"""Number of Adult and Head of Household Leavers""",260
"""Number of Stayers""",619
"""Number of Adult Stayers""",447
"""Number of Veterans""",43
"""Number of Chronically Homeless Persons""",100
"""Number of Youth Under Age 25""",56
"""Number of Parenting Youth Under Age 25 with Children""",6
"""Number of Adult Heads of Household""",604
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",121
