"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",176,7,43
"""Adults with Only Other Income""",181,36,38
"""Adults with Both Earned and Other Income""",36,1,8
"""Adults with No Income""",437,16,155
"""Adults with Client Doesn't Know/Client Refused Income Information""",2,0,1
"""Adults with Missing Income Information""",15,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,402,0
"""Number of Adult Stayers without Required Annual Assessment""",0,145,0
"""Total Adults""",852,607,245
"""1 or More Source of Income""",434,46,99
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,60,0
