, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",136,106,30,0,0
"""Transitional housing for homeless persons (including homeless youth)""",3,3,0,0,0
"""Place not meant for human habitation""",155,145,10,0,0
"""Safe Haven""",5,3,2,0,0
"""Host Home""",1,1,0,0,0
"""Subtotal""",300,258,42,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",6,6,0,0,0
"""Substance abuse treatment facility or detox center""",5,5,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",16,15,1,0,0
"""Jail, prison or juvenile detention facility""",19,19,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",2,2,0,0,0
"""Subtotal""",48,47,1,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",11,11,0,0,0
"""Owned by client, with ongoing housing subsidy""",2,2,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",207,148,56,0,3
"""Rental by client, with VASH housing subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",6,4,2,0,0
"""Hotel or motel paid for without emergency shelter voucher""",78,60,17,0,1
"""Staying or living in a friend''s room, apartment or house""",86,72,14,0,0
"""Staying or living in a family member''s room, apartment or house""",83,52,31,0,0
"""Client Doesn''t Know/Client Refused""",2,2,0,0,0
"""Data not collected""",28,23,5,0,0
"""Subtotal""",504,375,125,0,4
"""Total""",852,680,168,0,4
