, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",86,61,30,0,0
"""8 to 14 days""",8,4,4,0,0
"""15 to 21 days""",13,7,6,0,0
"""22 to 30 days""",6,1,5,0,0
"""31 to 60 days""",27,15,12,0,0
"""61 to 180 days""",62,43,19,0,0
"""181 to 365 days""",39,24,15,0,0
"""366-730 days (1-2 years)""",31,31,0,0,0
"""731 days or more""",64,54,10,0,0
"""Total (persons moved into housing)""",341,240,101,0,0
"""Not yet moved into housing""",15,10,5,0,0
"""Data not collected""",22,21,1,0,0
"""Total persons""",378,271,107,0,0
