"""Total Number of Persons Served""",1112
"""Number of Adults (age 18 or over)""",852
"""Number of Children (under age 18)""",251
"""Number of Persons with Unknown Age""",9
"""Number of Leavers""",284
"""Number of Adult Leavers""",245
"""Number of Adult and Head of Household Leavers""",245
"""Number of Stayers""",828
"""Number of Adult Stayers""",607
"""Number of Veterans""",49
"""Number of Chronically Homeless Persons""",133
"""Number of Youth Under Age 25""",67
"""Number of Parenting Youth Under Age 25 with Children""",11
"""Number of Adult Heads of Household""",692
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",205
