, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",309,10,85
"""$1 -  $150""",5,0,2
"""$151 - $250""",8,0,3
"""$251 - $500""",23,1,3
"""$501 - $1000""",134,18,32
"""$1001 - $1500""",80,13,19
"""$1501 - $2000""",68,8,8
"""$2001+""",75,4,22
"""Client Doesn't Know/Client Refused""",2,0,1
"""Data Not Collected""",148,6,70
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,402,0
"""Number of Adult Stayers without Required Annual Assessment""",0,145,0
"""Total Adults""",852,607,245
