, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",1,1,0,0,0
"""Owned by client, with ongoing subsidy""",1,1,0,0,0
"""Rental by client, no ongoing subsidy""",94,39,55,0,0
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",9,6,3,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",1,1,0,0,0
"""Staying or living with family, permanent tenure""",4,1,3,0,0
"""Staying or living with friends, permanent tenure""",1,1,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",3,3,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",4,4,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",118,57,61,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",21,21,0,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",17,17,0,0,0
"""Staying or living with friends, temporary tenure""",20,18,2,0,0
"""Place not meant for human habitation""",21,21,0,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",24,24,0,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",103,101,2,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",2,2,0,0,0
"""Substance abuse treatment facility or detox center""",1,1,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",0,0,0,0,0
"""Jail, prison, or juvenile detention facility""",7,7,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",10,10,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",8,1,7,0,0
"""Client Doesn't Know/Client Refused""",9,9,0,0,0
"""Data Not Collected (no exit interview completed)""",36,36,0,0,0
"""Subtotal""",53,46,7,0,0
"""Total""",284,214,70,0,0
"""Total persons exiting to positive housing destinations""",71,31,40,0,0
"""Total persons whose destinations excluded them from the calculation""",0,0,0,0,0
"""Percentage""",0.25,0.14,0.57,0.0,0.0
