, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",10,29,39,0.26,4,12,16,0.25,0,0,0,0.0
"""Supplemental Security Income (SSI)""",18,1,19,0.95,1,1,2,0.5,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",11,0,11,1.0,1,1,2,0.5,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,1,0,1,1.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",3,1,4,0.75,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,1,2,0.5,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,2,2,0.0,2,3,5,0.4,0,0,0,0.0
"""Other source""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""No Sources""",29,38,67,0.43,2,7,9,0.22,0,0,0,0.0
"""Unduplicated Total Adults""",67,69,136,,9,22,31,,0,0,0,
