length,total,population,start_date,end_date,question,status,count
30 days or less,149,all_persons,2017-09-01,2017-09-30,Q22a1,leavers,63
30 days or less,149,all_persons,2017-09-01,2017-09-30,Q22a1,stayers,86
31 to 60 days,93,all_persons,2017-09-01,2017-09-30,Q22a1,leavers,20
31 to 60 days,93,all_persons,2017-09-01,2017-09-30,Q22a1,stayers,73
61 to 90 days,62,all_persons,2017-09-01,2017-09-30,Q22a1,leavers,17
61 to 90 days,62,all_persons,2017-09-01,2017-09-30,Q22a1,stayers,45
91 to 180 days,84,all_persons,2017-09-01,2017-09-30,Q22a1,leavers,43
91 to 180 days,84,all_persons,2017-09-01,2017-09-30,Q22a1,stayers,41
181 to 365 days,38,all_persons,2017-09-01,2017-09-30,Q22a1,leavers,7
181 to 365 days,38,all_persons,2017-09-01,2017-09-30,Q22a1,stayers,31
366 to 730 Days (1-2 Yrs),49,all_persons,2017-09-01,2017-09-30,Q22a1,leavers,0
366 to 730 Days (1-2 Yrs),49,all_persons,2017-09-01,2017-09-30,Q22a1,stayers,49
"731 to 1,095 Days (2-3 Yrs)",23,all_persons,2017-09-01,2017-09-30,Q22a1,leavers,7
"731 to 1,095 Days (2-3 Yrs)",23,all_persons,2017-09-01,2017-09-30,Q22a1,stayers,16
"1,096 to 1,460 Days (3-4 Yrs)",4,all_persons,2017-09-01,2017-09-30,Q22a1,leavers,2
"1,096 to 1,460 Days (3-4 Yrs)",4,all_persons,2017-09-01,2017-09-30,Q22a1,stayers,2
"1,461 to 1,825 Days (5-5 Yrs)",14,all_persons,2017-09-01,2017-09-30,Q22a1,leavers,5
"1,461 to 1,825 Days (5-5 Yrs)",14,all_persons,2017-09-01,2017-09-30,Q22a1,stayers,9
"More than 1,825 Days (>5 Yrs)",64,all_persons,2017-09-01,2017-09-30,Q22a1,leavers,15
"More than 1,825 Days (>5 Yrs)",64,all_persons,2017-09-01,2017-09-30,Q22a1,stayers,49
Data Not Collected,0,all_persons,2017-09-01,2017-09-30,Q22a1,leavers,0
Data Not Collected,0,all_persons,2017-09-01,2017-09-30,Q22a1,stayers,0
