veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,16,all_households,2017-09-01,2017-09-30,Q25b,without_children,16
Chronically Homeless Veteran,16,all_households,2017-09-01,2017-09-30,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,16,all_households,2017-09-01,2017-09-30,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,8,all_households,2017-09-01,2017-09-30,Q25b,without_children,4
Non-Chronically Homeless Veteran,8,all_households,2017-09-01,2017-09-30,Q25b,with_children_and_adults,4
Non-Chronically Homeless Veteran,8,all_households,2017-09-01,2017-09-30,Q25b,unknown_household_type,0
Not a Veteran,298,all_households,2017-09-01,2017-09-30,Q25b,without_children,227
Not a Veteran,298,all_households,2017-09-01,2017-09-30,Q25b,with_children_and_adults,71
Not a Veteran,298,all_households,2017-09-01,2017-09-30,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_households,2017-09-01,2017-09-30,Q25b,without_children,1
Client Doesn't Know/Client Refused,1,all_households,2017-09-01,2017-09-30,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_households,2017-09-01,2017-09-30,Q25b,unknown_household_type,0
Data Not Collected,10,all_households,2017-09-01,2017-09-30,Q25b,without_children,10
Data Not Collected,10,all_households,2017-09-01,2017-09-30,Q25b,with_children_and_adults,0
Data Not Collected,10,all_households,2017-09-01,2017-09-30,Q25b,unknown_household_type,0
