number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_start,103
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_annual_assessment_stayers,6
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_exit_leavers,43
Adults with Only Other Income,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_start,124
Adults with Only Other Income,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_annual_assessment_stayers,23
Adults with Only Other Income,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_exit_leavers,23
Adults with Both Earned and Other Income,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_start,13
Adults with Both Earned and Other Income,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_exit_leavers,3
Adults with No Income,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_start,147
Adults with No Income,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_annual_assessment_stayers,17
Adults with No Income,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_exit_leavers,36
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_start,2
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_exit_leavers,3
Adults with Missing Income Information,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_start,21
Adults with Missing Income Information,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_exit_leavers,10
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_annual_assessment_stayers,178
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_annual_assessment_stayers,67
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_start,410
Total Adults,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_annual_assessment_stayers,292
Total Adults,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_exit_leavers,118
1 or More Source of Income,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_start,255
1 or More Source of Income,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_annual_assessment_stayers,33
1 or More Source of Income,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_exit_leavers,71
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_annual_assessment_stayers,47
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-09-01,2017-09-30,Q18,number_of_adults_at_exit_leavers,0
