count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,237,66,102,stayers,2015-08-01,2015-08-31,Q13c2,without_children,67
None,237,66,102,stayers,2015-08-01,2015-08-31,Q13c2,with_only_children,2
None,237,66,102,stayers,2015-08-01,2015-08-31,Q13c2,unknown_household_type,0
1 Condition,97,14,8,stayers,2015-08-01,2015-08-31,Q13c2,without_children,75
1 Condition,97,14,8,stayers,2015-08-01,2015-08-31,Q13c2,with_only_children,0
1 Condition,97,14,8,stayers,2015-08-01,2015-08-31,Q13c2,unknown_household_type,0
2 Conditions,58,7,2,stayers,2015-08-01,2015-08-31,Q13c2,without_children,49
2 Conditions,58,7,2,stayers,2015-08-01,2015-08-31,Q13c2,with_only_children,0
2 Conditions,58,7,2,stayers,2015-08-01,2015-08-31,Q13c2,unknown_household_type,0
3+ Conditions,29,2,1,stayers,2015-08-01,2015-08-31,Q13c2,without_children,26
3+ Conditions,29,2,1,stayers,2015-08-01,2015-08-31,Q13c2,with_only_children,0
3+ Conditions,29,2,1,stayers,2015-08-01,2015-08-31,Q13c2,unknown_household_type,0
Condition Unknown,5,1,1,stayers,2015-08-01,2015-08-31,Q13c2,without_children,3
Condition Unknown,5,1,1,stayers,2015-08-01,2015-08-31,Q13c2,with_only_children,0
Condition Unknown,5,1,1,stayers,2015-08-01,2015-08-31,Q13c2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2015-08-01,2015-08-31,Q13c2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2015-08-01,2015-08-31,Q13c2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2015-08-01,2015-08-31,Q13c2,unknown_household_type,0
Data Not Collected,5,0,1,stayers,2015-08-01,2015-08-31,Q13c2,without_children,2
Data Not Collected,5,0,1,stayers,2015-08-01,2015-08-31,Q13c2,with_only_children,0
Data Not Collected,5,0,1,stayers,2015-08-01,2015-08-31,Q13c2,unknown_household_type,2
