report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,507,all_persons,2015-08-01,2015-08-31,Q5a
Number of Adults (age 18 or over),358,all_persons,2015-08-01,2015-08-31,Q5a
Number of Children (under age 18),148,all_persons,2015-08-01,2015-08-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-08-01,2015-08-31,Q5a
Number of Leavers,76,all_persons,2015-08-01,2015-08-31,Q5a
Number of Adult Leavers,45,all_persons,2015-08-01,2015-08-31,Q5a
Number of Adult and Head of Household Leavers,46,all_persons,2015-08-01,2015-08-31,Q5a
Number of Stayers,431,all_persons,2015-08-01,2015-08-31,Q5a
Number of Adult Stayers,313,all_persons,2015-08-01,2015-08-31,Q5a
Number of Veterans,12,all_persons,2015-08-01,2015-08-31,Q5a
Number of Chronically Homeless Persons,23,all_persons,2015-08-01,2015-08-31,Q5a
Number of Youth Under Age 25,20,all_persons,2015-08-01,2015-08-31,Q5a
Number of Parenting Youth Under Age 25 with Children,8,all_persons,2015-08-01,2015-08-31,Q5a
Number of Adult Heads of Household,289,all_persons,2015-08-01,2015-08-31,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2015-08-01,2015-08-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,101,all_persons,2015-08-01,2015-08-31,Q5a
