count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,290,76,129,start,2015-08-01,2015-08-31,Q13a2,without_children,83
None,290,76,129,start,2015-08-01,2015-08-31,Q13a2,with_only_children,2
None,290,76,129,start,2015-08-01,2015-08-31,Q13a2,unknown_household_type,0
1 Condition,111,17,9,start,2015-08-01,2015-08-31,Q13a2,without_children,85
1 Condition,111,17,9,start,2015-08-01,2015-08-31,Q13a2,with_only_children,0
1 Condition,111,17,9,start,2015-08-01,2015-08-31,Q13a2,unknown_household_type,0
2 Conditions,62,8,5,start,2015-08-01,2015-08-31,Q13a2,without_children,49
2 Conditions,62,8,5,start,2015-08-01,2015-08-31,Q13a2,with_only_children,0
2 Conditions,62,8,5,start,2015-08-01,2015-08-31,Q13a2,unknown_household_type,0
3+ Conditions,32,3,1,start,2015-08-01,2015-08-31,Q13a2,without_children,28
3+ Conditions,32,3,1,start,2015-08-01,2015-08-31,Q13a2,with_only_children,0
3+ Conditions,32,3,1,start,2015-08-01,2015-08-31,Q13a2,unknown_household_type,0
Condition Unknown,5,1,1,start,2015-08-01,2015-08-31,Q13a2,without_children,3
Condition Unknown,5,1,1,start,2015-08-01,2015-08-31,Q13a2,with_only_children,0
Condition Unknown,5,1,1,start,2015-08-01,2015-08-31,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,start,2015-08-01,2015-08-31,Q13a2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,start,2015-08-01,2015-08-31,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,start,2015-08-01,2015-08-31,Q13a2,unknown_household_type,0
Data Not Collected,7,0,1,start,2015-08-01,2015-08-31,Q13a2,without_children,4
Data Not Collected,7,0,1,start,2015-08-01,2015-08-31,Q13a2,with_only_children,0
Data Not Collected,7,0,1,start,2015-08-01,2015-08-31,Q13a2,unknown_household_type,2
