, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",76,45,31,0,0
"""8 to 14 days""",4,4,0,0,0
"""15 to 21 days""",8,3,5,0,0
"""22 to 30 days""",12,6,6,0,0
"""31 to 60 days""",20,11,9,0,0
"""61 to 180 days""",54,32,22,0,0
"""181 to 365 days""",31,23,8,0,0
"""366-730 days (1-2 years)""",32,32,0,0,0
"""731 days or more""",62,53,9,0,0
"""Total (persons moved into housing)""",299,209,90,0,0
"""Not yet moved into housing""",25,13,12,0,0
"""Data not collected""",17,13,4,0,0
"""Total persons""",341,235,106,0,0
