"""Total Number of Persons Served""",1199
"""Number of Adults (age 18 or over)""",865
"""Number of Children (under age 18)""",325
"""Number of Persons with Unknown Age""",9
"""Number of Leavers""",301
"""Number of Adult Leavers""",264
"""Number of Adult and Head of Household Leavers""",265
"""Number of Stayers""",898
"""Number of Adult Stayers""",601
"""Number of Veterans""",43
"""Number of Chronically Homeless Persons""",116
"""Number of Youth Under Age 25""",75
"""Number of Parenting Youth Under Age 25 with Children""",11
"""Number of Adult Heads of Household""",698
"""Number of Child and Unknown-Age Heads of Household""",2
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",163
