, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",104,79,25,0,0
"""Transitional housing for homeless persons (including homeless youth)""",2,2,0,0,0
"""Place not meant for human habitation""",176,156,20,0,0
"""Safe Haven""",3,3,0,0,0
"""Host Home""",1,1,0,0,0
"""Subtotal""",286,241,45,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",3,3,0,0,0
"""Substance abuse treatment facility or detox center""",4,4,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",15,15,0,0,0
"""Jail, prison or juvenile detention facility""",18,18,0,0,0
"""Foster care home or foster care group home""",1,1,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",4,4,0,0,0
"""Subtotal""",45,45,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Owned by client, no ongoing housing subsidy""",10,10,0,0,0
"""Owned by client, with ongoing housing subsidy""",1,1,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",1,0,1,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",1,1,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",220,155,62,0,3
"""Rental by client, with VASH housing subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",8,7,1,0,0
"""Hotel or motel paid for without emergency shelter voucher""",87,61,25,0,1
"""Staying or living in a friend''s room, apartment or house""",96,79,17,0,0
"""Staying or living in a family member''s room, apartment or house""",84,47,37,0,0
"""Client Doesn''t Know/Client Refused""",1,1,0,0,0
"""Data not collected""",26,17,9,0,0
"""Subtotal""",536,380,152,0,4
"""Total""",867,666,197,0,4
