, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",264,11,63
"""Unemployment Insurance""",4,0,2
"""Supplemental Security Income (SSI)""",94,25,23
"""Social Security Disability Insurance (SSDI)""",74,13,17
"""VA Service - Connected Disability Compensation""",8,5,1
"""VA Non-Service Connected Disability Pension""",4,2,2
"""Private Disability Insurance""",2,1,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",18,1,5
"""General Assistance (GA)""",1,0,1
"""Retirement Income from Social Security""",12,3,4
"""Pension or retirement income from a former job""",7,1,0
"""Child Support""",21,0,5
"""Alimony and other spousal support""",0,0,0
"""Other Source""",7,0,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,65,0
