, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",275,10,86
"""$1 -  $150""",2,0,0
"""$151 - $250""",6,0,2
"""$251 - $500""",30,1,6
"""$501 - $1000""",127,21,26
"""$1001 - $1500""",97,16,23
"""$1501 - $2000""",73,9,17
"""$2001+""",96,5,27
"""Client Doesn't Know/Client Refused""",1,0,0
"""Data Not Collected""",158,3,77
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,438,0
"""Number of Adult Stayers without Required Annual Assessment""",0,98,0
"""Total Adults""",865,601,264
