, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",7,1,1
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",7,5,1
"""Social Security Disability Insurance (SSDI)""",6,2,1
"""VA Service - Connected Disability Compensation""",8,5,1
"""VA Non-Service Connected Disability Pension""",3,1,1
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",3,2,0
"""Pension or retirement income from a former job""",2,0,0
"""Child Support""",0,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",0,0,0
"""Veterans with Income Information at Start and Annual Assessment/Exit""",0,13,0
