non_cash_benefits,population,start_date,end_date,question,status,count
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_start,258
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,29
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_exit_for_leavers,92
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_start,33
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,1
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_exit_for_leavers,7
TANF Child Care Services,all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_start,6
TANF Child Care Services,all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_exit_for_leavers,3
TANF Transportation Services,all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_start,0
TANF Transportation Services,all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_start,5
Other TANF-Funded Services,all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_exit_for_leavers,0
Other Source,all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_start,6
Other Source,all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,9
Other Source,all_persons,2020-01-01,2020-01-31,Q20a,benefit_at_exit_for_leavers,0
