count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,477,121,197,stayers,2020-01-01,2020-01-31,Q13c2,without_children,140
None,477,121,197,stayers,2020-01-01,2020-01-31,Q13c2,with_only_children,10
None,477,121,197,stayers,2020-01-01,2020-01-31,Q13c2,unknown_household_type,9
1 Condition,183,21,8,stayers,2020-01-01,2020-01-31,Q13c2,without_children,153
1 Condition,183,21,8,stayers,2020-01-01,2020-01-31,Q13c2,with_only_children,0
1 Condition,183,21,8,stayers,2020-01-01,2020-01-31,Q13c2,unknown_household_type,1
2 Conditions,87,8,2,stayers,2020-01-01,2020-01-31,Q13c2,without_children,77
2 Conditions,87,8,2,stayers,2020-01-01,2020-01-31,Q13c2,with_only_children,0
2 Conditions,87,8,2,stayers,2020-01-01,2020-01-31,Q13c2,unknown_household_type,0
3+ Conditions,63,4,0,stayers,2020-01-01,2020-01-31,Q13c2,without_children,59
3+ Conditions,63,4,0,stayers,2020-01-01,2020-01-31,Q13c2,with_only_children,0
3+ Conditions,63,4,0,stayers,2020-01-01,2020-01-31,Q13c2,unknown_household_type,0
Condition Unknown,13,1,0,stayers,2020-01-01,2020-01-31,Q13c2,without_children,12
Condition Unknown,13,1,0,stayers,2020-01-01,2020-01-31,Q13c2,with_only_children,0
Condition Unknown,13,1,0,stayers,2020-01-01,2020-01-31,Q13c2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2020-01-01,2020-01-31,Q13c2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2020-01-01,2020-01-31,Q13c2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,stayers,2020-01-01,2020-01-31,Q13c2,unknown_household_type,0
Data Not Collected,52,7,29,stayers,2020-01-01,2020-01-31,Q13c2,without_children,10
Data Not Collected,52,7,29,stayers,2020-01-01,2020-01-31,Q13c2,with_only_children,3
Data Not Collected,52,7,29,stayers,2020-01-01,2020-01-31,Q13c2,unknown_household_type,3
