count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,663,148,245,start,2020-01-01,2020-01-31,Q13a2,without_children,251
None,663,148,245,start,2020-01-01,2020-01-31,Q13a2,with_only_children,10
None,663,148,245,start,2020-01-01,2020-01-31,Q13a2,unknown_household_type,9
1 Condition,249,28,10,start,2020-01-01,2020-01-31,Q13a2,without_children,210
1 Condition,249,28,10,start,2020-01-01,2020-01-31,Q13a2,with_only_children,0
1 Condition,249,28,10,start,2020-01-01,2020-01-31,Q13a2,unknown_household_type,1
2 Conditions,122,12,3,start,2020-01-01,2020-01-31,Q13a2,without_children,107
2 Conditions,122,12,3,start,2020-01-01,2020-01-31,Q13a2,with_only_children,0
2 Conditions,122,12,3,start,2020-01-01,2020-01-31,Q13a2,unknown_household_type,0
3+ Conditions,83,5,0,start,2020-01-01,2020-01-31,Q13a2,without_children,78
3+ Conditions,83,5,0,start,2020-01-01,2020-01-31,Q13a2,with_only_children,0
3+ Conditions,83,5,0,start,2020-01-01,2020-01-31,Q13a2,unknown_household_type,0
Condition Unknown,68,1,0,start,2020-01-01,2020-01-31,Q13a2,without_children,67
Condition Unknown,68,1,0,start,2020-01-01,2020-01-31,Q13a2,with_only_children,0
Condition Unknown,68,1,0,start,2020-01-01,2020-01-31,Q13a2,unknown_household_type,0
Client Doesn't Know/Client Refused,2,0,0,start,2020-01-01,2020-01-31,Q13a2,without_children,2
Client Doesn't Know/Client Refused,2,0,0,start,2020-01-01,2020-01-31,Q13a2,with_only_children,0
Client Doesn't Know/Client Refused,2,0,0,start,2020-01-01,2020-01-31,Q13a2,unknown_household_type,0
Data Not Collected,59,9,30,start,2020-01-01,2020-01-31,Q13a2,without_children,14
Data Not Collected,59,9,30,start,2020-01-01,2020-01-31,Q13a2,with_only_children,3
Data Not Collected,59,9,30,start,2020-01-01,2020-01-31,Q13a2,unknown_household_type,3
