organization_name,organization_id,project_name,project_id,hmis_project_type,method_for_tracking_es,affiliated_with_a_residential_project,project_i_ds_of_affiliations,co_c_number,geocode,victim_service_provider,hmis_software_name,report_start_date,report_end_date,population,start_date,end_date,question
Mercy House Parent,1286,Mercy House CHERP RRH (ESG-CV),1918,13,NA,NA,NA,VA-513,510726,0,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
Family Promise of Shenandoah,1628,Family Promise of Shenandoah- ES,1629,1,0,NA,NA,VA-513,519171,0,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
Western Virginia CoC - BFZ,1183,The Laurel Center HIC Only ES DV,1791,1,0,NA,NA,VA-513,511674,1,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
HRHA Parent,1537,HRHA Commerce Village PSH Units,1538,3,NA,NA,NA,VA-513,510726,0,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
AIDS Response Effort - Parent,1193,AIDS Response Effort Prevention CHERP 1-21,1998,12,NA,NA,NA,VA-513,511674,0,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
Harrisonburg Community Health Center-Valley AIDS Network(VAN) - Western CoC,1449,Hburg Care Mgmt HOPWA - TBRA (1514),1514,7,NA,NA,NA,VA-513,510726,0,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
Homeward,2,zCommunity Transitional Housing Program (closed),1195,12,NA,NA,NA,NA,NA,0,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
Western Virginia CoC - BFZ,1183,AIDS Response CHERP RRH 1-21,1990,13,NA,NA,NA,VA-513,519171,0,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
AIDS Response Effort - Parent,1193,AIDS Response CHERP RRH (ESG-CV),1915,13,NA,NA,NA,VA-513,511674,0,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
Western Virginia CoC - BFZ,1183,ZCLOSED-Northwestern Community Services: SHP (CLOSED),1185,6,NA,0,NA,NA,NA,0,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
NA,NA,Harrisonburg & Rockingham Dental Clinic,1317,NA,NA,NA,NA,NA,NA,0,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
Harrisonburg Community Health Center-Valley AIDS Network(VAN) - Western CoC,1449,Hburg Care Mgmt - RYAN WHITE (1661),1661,7,NA,NA,NA,VA-513,510726,0,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
NA,NA,Harrisonburg Community Health Center,1331,NA,NA,NA,NA,NA,NA,0,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
Western Virginia CoC - BFZ,1183,First Step PARENT,1330,1,0,NA,NA,NA,NA,1,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
Winchester DSS PARENT,1800,Winchester DSS ES BEDS for HIC,1801,1,0,NA,NA,VA-513,511674,0,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
NA,NA,VAIL,1324,NA,NA,NA,NA,NA,NA,0,ServicePoint,2020-01-01,2020-01-31,NA,2020-01-01,2020-01-31,Q4a
