number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_start,213
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_annual_assessment_stayers,7
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_exit_leavers,47
Adults with Only Other Income,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_start,187
Adults with Only Other Income,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_annual_assessment_stayers,38
Adults with Only Other Income,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_exit_leavers,51
Adults with Both Earned and Other Income,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_start,44
Adults with Both Earned and Other Income,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_annual_assessment_stayers,2
Adults with Both Earned and Other Income,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_exit_leavers,16
Adults with No Income,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_start,468
Adults with No Income,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_annual_assessment_stayers,12
Adults with No Income,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_exit_leavers,200
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_start,2
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_exit_leavers,2
Adults with Missing Income Information,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_start,17
Adults with Missing Income Information,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_exit_leavers,3
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_annual_assessment_stayers,438
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_annual_assessment_stayers,120
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_start,936
Total Adults,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_annual_assessment_stayers,617
Total Adults,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_exit_leavers,319
1 or More Source of Income,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_start,480
1 or More Source of Income,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_annual_assessment_stayers,49
1 or More Source of Income,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_exit_leavers,124
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_annual_assessment_stayers,59
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-01-01,2020-01-31,Q18,number_of_adults_at_exit_leavers,0
