income_range,population,start_date,end_date,question,status,count
No Income,adults,2020-01-01,2020-01-31,Q16,income_at_start,314
No Income,adults,2020-01-01,2020-01-31,Q16,income_at_latest_annual_assessment_for_stayers,10
No Income,adults,2020-01-01,2020-01-31,Q16,income_at_exit_for_leavers,107
$1 -  $150,adults,2020-01-01,2020-01-31,Q16,income_at_start,6
$1 -  $150,adults,2020-01-01,2020-01-31,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2020-01-01,2020-01-31,Q16,income_at_exit_for_leavers,2
$151 - $250,adults,2020-01-01,2020-01-31,Q16,income_at_start,5
$151 - $250,adults,2020-01-01,2020-01-31,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2020-01-01,2020-01-31,Q16,income_at_exit_for_leavers,2
$251 - $500,adults,2020-01-01,2020-01-31,Q16,income_at_start,30
$251 - $500,adults,2020-01-01,2020-01-31,Q16,income_at_latest_annual_assessment_for_stayers,1
$251 - $500,adults,2020-01-01,2020-01-31,Q16,income_at_exit_for_leavers,10
$501 - $1000,adults,2020-01-01,2020-01-31,Q16,income_at_start,138
$501 - $1000,adults,2020-01-01,2020-01-31,Q16,income_at_latest_annual_assessment_for_stayers,19
$501 - $1000,adults,2020-01-01,2020-01-31,Q16,income_at_exit_for_leavers,36
$1001 - $1500,adults,2020-01-01,2020-01-31,Q16,income_at_start,97
$1001 - $1500,adults,2020-01-01,2020-01-31,Q16,income_at_latest_annual_assessment_for_stayers,15
$1001 - $1500,adults,2020-01-01,2020-01-31,Q16,income_at_exit_for_leavers,22
$1501 - $2000,adults,2020-01-01,2020-01-31,Q16,income_at_start,81
$1501 - $2000,adults,2020-01-01,2020-01-31,Q16,income_at_latest_annual_assessment_for_stayers,8
$1501 - $2000,adults,2020-01-01,2020-01-31,Q16,income_at_exit_for_leavers,19
$2001+,adults,2020-01-01,2020-01-31,Q16,income_at_start,87
$2001+,adults,2020-01-01,2020-01-31,Q16,income_at_latest_annual_assessment_for_stayers,4
$2001+,adults,2020-01-01,2020-01-31,Q16,income_at_exit_for_leavers,23
Client Doesn't Know/Client Refused,adults,2020-01-01,2020-01-31,Q16,income_at_start,2
Client Doesn't Know/Client Refused,adults,2020-01-01,2020-01-31,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2020-01-01,2020-01-31,Q16,income_at_exit_for_leavers,2
Data Not Collected,adults,2020-01-01,2020-01-31,Q16,income_at_start,176
Data Not Collected,adults,2020-01-01,2020-01-31,Q16,income_at_latest_annual_assessment_for_stayers,2
Data Not Collected,adults,2020-01-01,2020-01-31,Q16,income_at_exit_for_leavers,96
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2020-01-01,2020-01-31,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2020-01-01,2020-01-31,Q16,income_at_latest_annual_assessment_for_stayers,438
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2020-01-01,2020-01-31,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2020-01-01,2020-01-31,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2020-01-01,2020-01-31,Q16,income_at_latest_annual_assessment_for_stayers,120
Number of Adult Stayers without Required Annual Assessment,adults,2020-01-01,2020-01-31,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2020-01-01,2020-01-31,Q16,income_at_start,936
Total Adults,adults,2020-01-01,2020-01-31,Q16,income_at_latest_annual_assessment_for_stayers,617
Total Adults,adults,2020-01-01,2020-01-31,Q16,income_at_exit_for_leavers,319
