report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1246,all_persons,2020-01-01,2020-01-31,Q5a
Number of Adults (age 18 or over),936,all_persons,2020-01-01,2020-01-31,Q5a
Number of Children (under age 18),301,all_persons,2020-01-01,2020-01-31,Q5a
Number of Persons with Unknown Age,9,all_persons,2020-01-01,2020-01-31,Q5a
Number of Leavers,371,all_persons,2020-01-01,2020-01-31,Q5a
Number of Adult Leavers,319,all_persons,2020-01-01,2020-01-31,Q5a
Number of Adult and Head of Household Leavers,319,all_persons,2020-01-01,2020-01-31,Q5a
Number of Stayers,875,all_persons,2020-01-01,2020-01-31,Q5a
Number of Adult Stayers,617,all_persons,2020-01-01,2020-01-31,Q5a
Number of Veterans,49,all_persons,2020-01-01,2020-01-31,Q5a
Number of Chronically Homeless Persons,124,all_persons,2020-01-01,2020-01-31,Q5a
Number of Youth Under Age 25,84,all_persons,2020-01-01,2020-01-31,Q5a
Number of Parenting Youth Under Age 25 with Children,17,all_persons,2020-01-01,2020-01-31,Q5a
Number of Adult Heads of Household,763,all_persons,2020-01-01,2020-01-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2020-01-01,2020-01-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,179,all_persons,2020-01-01,2020-01-31,Q5a
