"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",169,6,76
"""Adults with Only Other Income""",164,33,52
"""Adults with Both Earned and Other Income""",27,3,9
"""Adults with No Income""",281,10,79
"""Adults with Client Doesn't Know/Client Refused Income Information""",2,0,1
"""Adults with Missing Income Information""",4,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,317,0
"""Number of Adult Stayers without Required Annual Assessment""",0,63,0
"""Total Adults""",649,432,217
"""1 or More Source of Income""",389,45,140
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,52,0
