, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",40,25,15,0,0
"""8 to 14 days""",6,4,2,0,0
"""15 to 21 days""",2,2,0,0,0
"""22 to 30 days""",12,3,9,0,0
"""31 to 60 days""",31,16,15,0,0
"""61 to 180 days""",75,31,44,0,0
"""181 to 365 days""",40,21,19,0,0
"""366-730 days (1-2 years)""",46,40,6,0,0
"""731 days or more""",57,48,9,0,0
"""Total (persons moved into housing)""",309,190,119,0,0
"""Not yet moved into housing""",37,18,19,0,0
"""Data not collected""",25,14,11,0,0
"""Total persons""",371,222,149,0,0
