"""Total Number of Persons Served""",874
"""Number of Adults (age 18 or over)""",649
"""Number of Children (under age 18)""",224
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",263
"""Number of Adult Leavers""",217
"""Number of Adult and Head of Household Leavers""",217
"""Number of Stayers""",611
"""Number of Adult Stayers""",432
"""Number of Veterans""",44
"""Number of Chronically Homeless Persons""",95
"""Number of Youth Under Age 25""",57
"""Number of Parenting Youth Under Age 25 with Children""",7
"""Number of Adult Heads of Household""",562
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",115
