, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",1,1,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",89,58,31,0,0
"""Rental by client, with VASH subsidy""",2,2,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",0,0,0,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",5,3,2,0,0
"""Staying or living with friends, permanent tenure""",5,1,4,0,0
"""Rental by client, with RRH or equivalent subsidy""",42,5,37,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",144,70,74,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",17,17,0,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",12,12,0,0,0
"""Staying or living with friends, temporary tenure""",19,19,0,0,0
"""Place not meant for human habitation""",15,15,0,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",16,16,0,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",79,79,0,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",1,1,0,0,0
"""Jail, prison, or juvenile detention facility""",1,1,0,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Subtotal""",3,3,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",1,1,0,0,0
"""Client Doesn't Know/Client Refused""",1,1,0,0,0
"""Data Not Collected (no exit interview completed)""",35,35,0,0,0
"""Subtotal""",37,37,0,0,0
"""Total""",263,189,74,0,0
"""Total persons exiting to positive housing destinations""",51,11,40,0,0
"""Total persons whose destinations excluded them from the calculation""",0,0,0,0,0
"""Percentage""",0.19,0.06,0.54,0.0,0.0
