, "Total" , "Without Children", "With Children and Adults", "With Only Children", "Unknown Household Type"
"""7 days or less""",0,0,0,0,0
"""8 to 14 days""",0,0,0,0,0
"""15 to 21 days""",0,0,0,0,0
"""22 to 30 days""",3,0,3,0,0
"""31 to 60 days""",3,1,2,0,0
"""61 to 180 days""",1,1,0,0,0
"""181 to 365 days""",0,0,0,0,0
"""366 to 730 days (1-2 Yrs)""",0,0,0,0,0
"""Total (persons moved into housing)""",7,2,5,0,0
"""Average length of time to housing""",43,56,38,0,0
"""Persons who were exited without move-in""",2,2,0,0,0
"""Total""",9,4,5,0,0
