"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",151,7,19
"""Adults with Only Other Income""",210,37,30
"""Adults with Both Earned and Other Income""",31,0,6
"""Adults with No Income""",510,14,116
"""Adults with Client Doesn't Know/Client Refused Income Information""",2,0,0
"""Adults with Missing Income Information""",19,0,1
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,436,0
"""Number of Adult Stayers without Required Annual Assessment""",0,262,0
"""Total Adults""",928,756,172
"""1 or More Source of Income""",437,45,63
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,58,0
