"""Number of Youth by Income Category""", "Number of Youth at Start" , "Number of Youth at Annual Assessment (Stayers)" , "Number of Youth at Exit (Leavers)"
"""Youth with Only Earned Income (ie.e, Employment Income)""",14,0,3
"""Youth with Only Other Income""",9,0,0
"""Youth with Both Earned and Other Income""",0,0,0
"""Youth with No Income""",51,0,16
"""Youth with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Youth with Missing Income Information""",4,0,0
"""Number of Youth Stayers not yet Required to Have an Annual Assessment""",0,37,0
"""Number of Youth Stayers without Required Annual Assessment""",0,22,0
"""Total Youth""",78,59,19
"""1 or More Source of Income""",25,0,3
"""Youth with Income Information at Start and Annual Assessment/Exit""",0,0,0
