, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",100,72,28,0,0
"""8 to 14 days""",7,7,0,0,0
"""15 to 21 days""",8,8,0,0,0
"""22 to 30 days""",7,6,1,0,0
"""31 to 60 days""",30,23,7,0,0
"""61 to 180 days""",64,37,27,0,0
"""181 to 365 days""",29,24,5,0,0
"""366-730 days (1-2 years)""",32,32,0,0,0
"""731 days or more""",74,63,11,0,0
"""Total (persons moved into housing)""",351,272,79,0,0
"""Not yet moved into housing""",40,21,19,0,0
"""Data not collected""",13,13,0,0,0
"""Total persons""",404,306,98,0,0
