, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",45,30,15,0,0
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",2,2,0,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",3,3,0,0,0
"""Staying or living with friends, permanent tenure""",10,4,6,0,0
"""Rental by client, with RRH or equivalent subsidy""",3,3,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",12,5,7,0,0
"""Rental by client in a public housing unit""",2,2,0,0,0
"""Subtotal""",77,49,28,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",21,13,8,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Staying or living with family, temporary tenure""",19,10,9,0,0
"""Staying or living with friends, temporary tenure""",7,7,0,0,0
"""Place not meant for human habitation""",23,9,14,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",21,21,0,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",92,61,31,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",0,0,0,0,0
"""Jail, prison, or juvenile detention facility""",2,2,0,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Subtotal""",3,3,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",1,1,0,0,0
"""Client Doesn't Know/Client Refused""",8,8,0,0,0
"""Data Not Collected (no exit interview completed)""",30,28,2,0,0
"""Subtotal""",39,37,2,0,0
"""Total""",211,150,61,0,0
"""Total persons exiting to positive housing destinations""",36,28,8,0,0
"""Total persons whose destinations excluded them from the calculation""",0,0,0,0,0
"""Percentage""",0.17,0.19,0.13,0.0,0.0
