"""Total Number of Persons Served""",1202
"""Number of Adults (age 18 or over)""",928
"""Number of Children (under age 18)""",264
"""Number of Persons with Unknown Age""",10
"""Number of Leavers""",211
"""Number of Adult Leavers""",172
"""Number of Adult and Head of Household Leavers""",174
"""Number of Stayers""",991
"""Number of Adult Stayers""",756
"""Number of Veterans""",50
"""Number of Chronically Homeless Persons""",182
"""Number of Youth Under Age 25""",78
"""Number of Parenting Youth Under Age 25 with Children""",17
"""Number of Adult Heads of Household""",773
"""Number of Child and Unknown-Age Heads of Household""",2
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",320
