pit_month,total,population,start_date,end_date,question,household_type,count
January,0,all_households,2016-10-01,2016-10-31,Q8b,without_children,0
January,0,all_households,2016-10-01,2016-10-31,Q8b,with_children_and_adults,0
January,0,all_households,2016-10-01,2016-10-31,Q8b,with_only_children,0
January,0,all_households,2016-10-01,2016-10-31,Q8b,unknown_household_type,0
April,0,all_households,2016-10-01,2016-10-31,Q8b,without_children,0
April,0,all_households,2016-10-01,2016-10-31,Q8b,with_children_and_adults,0
April,0,all_households,2016-10-01,2016-10-31,Q8b,with_only_children,0
April,0,all_households,2016-10-01,2016-10-31,Q8b,unknown_household_type,0
July,0,all_households,2016-10-01,2016-10-31,Q8b,without_children,0
July,0,all_households,2016-10-01,2016-10-31,Q8b,with_children_and_adults,0
July,0,all_households,2016-10-01,2016-10-31,Q8b,with_only_children,0
July,0,all_households,2016-10-01,2016-10-31,Q8b,unknown_household_type,0
October,296,all_households,2016-10-01,2016-10-31,Q8b,without_children,225
October,296,all_households,2016-10-01,2016-10-31,Q8b,with_children_and_adults,71
October,296,all_households,2016-10-01,2016-10-31,Q8b,with_only_children,0
October,296,all_households,2016-10-01,2016-10-31,Q8b,unknown_household_type,0
