number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_start,119
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_annual_assessment_stayers,1
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_exit_leavers,21
Adults with Only Other Income,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_start,122
Adults with Only Other Income,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_annual_assessment_stayers,20
Adults with Only Other Income,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_exit_leavers,19
Adults with Both Earned and Other Income,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_start,23
Adults with Both Earned and Other Income,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_exit_leavers,8
Adults with No Income,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_start,172
Adults with No Income,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_annual_assessment_stayers,7
Adults with No Income,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_exit_leavers,43
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_start,8
Adults with Missing Income Information,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_annual_assessment_stayers,244
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_annual_assessment_stayers,81
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_start,445
Total Adults,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_annual_assessment_stayers,353
Total Adults,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_exit_leavers,92
1 or More Source of Income,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_start,280
1 or More Source of Income,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_annual_assessment_stayers,24
1 or More Source of Income,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_exit_leavers,52
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_annual_assessment_stayers,28
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-10-01,2016-10-31,Q18,number_of_adults_at_exit_leavers,0
