ch_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,48,all_households,2016-10-01,2016-10-31,Q26a,without_children,47
Chronically Homeless ,48,all_households,2016-10-01,2016-10-31,Q26a,with_children_and_adults,1
Chronically Homeless ,48,all_households,2016-10-01,2016-10-31,Q26a,with_only_children,0
Chronically Homeless ,48,all_households,2016-10-01,2016-10-31,Q26a,unknown_household_type,0
Not Chronically Homeless,273,all_households,2016-10-01,2016-10-31,Q26a,without_children,180
Not Chronically Homeless,273,all_households,2016-10-01,2016-10-31,Q26a,with_children_and_adults,93
Not Chronically Homeless,273,all_households,2016-10-01,2016-10-31,Q26a,with_only_children,0
Not Chronically Homeless,273,all_households,2016-10-01,2016-10-31,Q26a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_households,2016-10-01,2016-10-31,Q26a,without_children,1
Client Doesn't Know/Client Refused,1,all_households,2016-10-01,2016-10-31,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_households,2016-10-01,2016-10-31,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_households,2016-10-01,2016-10-31,Q26a,unknown_household_type,0
Data Not Collected,32,all_households,2016-10-01,2016-10-31,Q26a,without_children,29
Data Not Collected,32,all_households,2016-10-01,2016-10-31,Q26a,with_children_and_adults,3
Data Not Collected,32,all_households,2016-10-01,2016-10-31,Q26a,with_only_children,0
Data Not Collected,32,all_households,2016-10-01,2016-10-31,Q26a,unknown_household_type,0
