number_of_youth_by_income_category,population,start_date,end_date,question,status,count
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_start,11
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_exit_leavers,1
Youth with Only Other Income,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_start,4
Youth with Only Other Income,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_exit_leavers,1
Youth with Both Earned and Other Income,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_start,0
Youth with Both Earned and Other Income,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_start,49
Youth with No Income,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_exit_leavers,16
Youth with Client Doesn't Know/Client Refused Income Information,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_start,2
Youth with Missing Income Information,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,27
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,21
Number of Youth Stayers without Required Annual Assessment,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_start,66
Total Youth,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,48
Total Youth,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_exit_leavers,18
1 or More Source of Income,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_start,17
1 or More Source of Income,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_exit_leavers,2
Youth with Income Information at Start and Annual Assessment/Exit,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2020-12-01,2020-12-31,Q27h,number_of_youth_at_exit_leavers,0
