number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_start,160
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_annual_assessment_stayers,8
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_exit_leavers,28
Adults with Only Other Income,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_start,213
Adults with Only Other Income,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_annual_assessment_stayers,35
Adults with Only Other Income,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_exit_leavers,35
Adults with Both Earned and Other Income,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_start,33
Adults with Both Earned and Other Income,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_exit_leavers,7
Adults with No Income,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_start,524
Adults with No Income,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_annual_assessment_stayers,17
Adults with No Income,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_exit_leavers,122
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_start,2
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_start,17
Adults with Missing Income Information,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_annual_assessment_stayers,461
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_annual_assessment_stayers,241
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_start,954
Total Adults,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_annual_assessment_stayers,762
Total Adults,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_exit_leavers,192
1 or More Source of Income,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_start,449
1 or More Source of Income,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_annual_assessment_stayers,44
1 or More Source of Income,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_exit_leavers,72
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_annual_assessment_stayers,60
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-12-01,2020-12-31,Q18,number_of_adults_at_exit_leavers,0
