, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",147,119,28,0,0
"""Transitional housing for homeless persons (including homeless youth)""",4,4,0,0,0
"""Place not meant for human habitation""",265,245,20,0,0
"""Safe Haven""",7,6,1,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",423,374,49,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",9,9,0,0,0
"""Substance abuse treatment facility or detox center""",8,8,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",29,29,0,0,0
"""Jail, prison or juvenile detention facility""",34,33,0,1,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",81,80,0,1,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",3,3,0,0,0
"""Owned by client, no ongoing housing subsidy""",10,10,0,0,0
"""Owned by client, with ongoing housing subsidy""",2,2,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",1,1,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",1,1,0,0,0
"""Rental by client in a public housing unit""",1,1,0,0,0
"""Rental by client, no ongoing housing subsidy""",213,155,55,0,3
"""Rental by client, with VASH housing subsidy""",2,1,1,0,0
"""Rental by client, with GPD TIP housing subsidy""",1,1,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",12,7,5,0,0
"""Hotel or motel paid for without emergency shelter voucher""",131,95,35,0,1
"""Staying or living in a friend''s room, apartment or house""",93,79,14,0,0
"""Staying or living in a family member''s room, apartment or house""",115,77,38,0,0
"""Client Doesn''t Know/Client Refused""",11,11,0,0,0
"""Data not collected""",45,31,12,0,2
"""Subtotal""",641,475,160,0,6
"""Total""",1145,929,209,1,6
