, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",233,8,39
"""Unemployment Insurance""",5,0,2
"""Supplemental Security Income (SSI)""",120,21,13
"""Social Security Disability Insurance (SSDI)""",97,14,14
"""VA Service - Connected Disability Compensation""",9,2,3
"""VA Non-Service Connected Disability Pension""",4,4,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",17,1,3
"""General Assistance (GA)""",1,0,1
"""Retirement Income from Social Security""",19,2,2
"""Pension or retirement income from a former job""",7,1,0
"""Child Support""",9,0,1
"""Alimony and other spousal support""",0,0,0
"""Other Source""",9,1,2
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,59,0
