"""Total Number of Persons Served""",1472
"""Number of Adults (age 18 or over)""",1141
"""Number of Children (under age 18)""",319
"""Number of Persons with Unknown Age""",12
"""Number of Leavers""",275
"""Number of Adult Leavers""",208
"""Number of Adult and Head of Household Leavers""",210
"""Number of Stayers""",1197
"""Number of Adult Stayers""",933
"""Number of Veterans""",70
"""Number of Chronically Homeless Persons""",194
"""Number of Youth Under Age 25""",90
"""Number of Parenting Youth Under Age 25 with Children""",13
"""Number of Adult Heads of Household""",923
"""Number of Child and Unknown-Age Heads of Household""",4
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",432
