, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",1,1,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",68,34,34,0,0
"""Rental by client, with VASH subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",10,4,6,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",1,1,0,0,0
"""Staying or living with family, permanent tenure""",9,3,6,0,0
"""Staying or living with friends, permanent tenure""",3,3,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",7,2,5,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",99,48,51,0,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",35,23,12,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",34,13,20,1,0
"""Staying or living with friends, temporary tenure""",13,5,8,0,0
"""Place not meant for human habitation""",44,39,5,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",33,27,6,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",159,107,51,1,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",1,1,0,0,0
"""Jail, prison, or juvenile detention facility""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Subtotal""",1,1,0,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",3,3,0,0,0
"""Client Doesn't Know/Client Refused""",1,0,0,0,1
"""Data Not Collected (no exit interview completed)""",12,12,0,0,0
"""Subtotal""",16,15,0,0,1
"""Total""",275,171,102,1,1
"""Total persons exiting to positive housing destinations""",30,19,11,0,0
"""Total persons whose destinations excluded them from the calculation""",1,1,0,0,0
"""Percentage""",0.11,0.11,0.11,0.0,0.0
