, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",128,87,40,0,1
"""8 to 14 days""",28,14,13,1,0
"""15 to 21 days""",17,12,5,0,0
"""22 to 30 days""",12,8,4,0,0
"""31 to 60 days""",21,17,4,0,0
"""61 to 180 days""",77,57,20,0,0
"""181 to 365 days""",45,36,9,0,0
"""366-730 days (1-2 years)""",46,46,0,0,0
"""731 days or more""",76,63,13,0,0
"""Total (persons moved into housing)""",450,340,108,1,1
"""Not yet moved into housing""",43,23,20,0,0
"""Data not collected""",39,25,14,0,0
"""Total persons""",532,388,142,1,1
