, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",100,6,21
"""Unemployment Insurance""",1,0,0
"""Supplemental Security Income (SSI)""",55,23,3
"""Social Security Disability Insurance (SSDI)""",44,10,4
"""VA Service - Connected Disability Compensation""",5,4,0
"""VA Non-Service Connected Disability Pension""",2,2,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",10,1,3
"""General Assistance (GA)""",1,0,1
"""Retirement Income from Social Security""",6,2,1
"""Pension or retirement income from a former job""",3,0,0
"""Child Support""",10,1,1
"""Alimony and other spousal support""",0,0,0
"""Other Source""",2,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,50,0
